Hewlett: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
caused: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
if: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
were: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
unable: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
access: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
educational: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
content: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sign: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
up: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
upcoming: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
webcasts: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
download: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
buy: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
OPC: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
software: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
due: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
longer: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
than: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
expected: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
outages: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
experienced: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
during: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
upgrade: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Matrikon: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
continues: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
committed: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
providing: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
best: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
experience: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
possible: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
every: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
interaction: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
matter: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
online: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
using: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
dealing: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
live: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
support: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
update: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
complete: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sincerely: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
invite: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
visit: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
once: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
more: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
case: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
there: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
anything: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
needed: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
down: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
If: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
questions: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
comments: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
regarding: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
this: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
please: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
feel: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
free: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
discuss: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
directly: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
account: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
manager: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
contact: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Warm: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
regards: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Business: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Leader: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Follow: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Y: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Terms: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Use: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
cy: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Policy: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ntact: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Us: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Websi: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
September: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Ü: {'mail_occurrences': 3, 'total_occurrences': 8, 'x_spam_probability': 0.17647058823529413}
Neues: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Denken: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Versorgungsbranche: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bekannt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Industrielösungen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Transformation: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
schen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ERP: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
Hana: {'mail_occurrences': 5, 'total_occurrences': 17, 'x_spam_probability': 0.29411764705882354}
stellt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
vielen: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
individuellen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ausprägungen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
einer: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
Industrielösung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
große: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Herausforderung: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
dar: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Auch: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
schafft: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
diesen: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Schritt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nicht: {'mail_occurrences': 4, 'total_occurrences': 8, 'x_spam_probability': 0.23529411764705882}
ohne: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Gisa: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Mutterkonzern: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Itelligence: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
führend: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Bereich: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Versorgungswirtschaft: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Virtuelle: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Abteilung: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
heute: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Kern: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wertschöpfungsprozesse: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Und: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Entwicklung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hält: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Große: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Dax: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Konzerne: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Mittel: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Spezialisten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
professionelle: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
unterhalten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Der: {'mail_occurrences': 4, 'total_occurrences': 7, 'x_spam_probability': 0.23529411764705882}
Mittelstand: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
hingegen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
stößt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
seine: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Grenzen: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Transition: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Bang: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Fast: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
immer: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
Kundenprojekten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
komplexe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Outsourcingvorhaben: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
beim: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Porzellanhersteller: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
BHS: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Tabletop: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Anwendungsbeispiel: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zeigt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
virtuellen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Praxis: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
eines: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Mittelstandsunternehmens: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
umsetzen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
lässt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wann: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
kommt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Utilities: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Abrechnungslösung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
IS: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Grundlage: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Großteil: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
deutschen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Strom: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Gasabrechnungen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bisherigen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wartungsende: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
2025: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
blickt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Branche: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
derzeit: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Fragezeichen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Zukunft: {'mail_occurrences': 3, 'total_occurrences': 7, 'x_spam_probability': 0.17647058823529413}
Leuchtturmprojekt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Jahres: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Stadtwerke: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Pforzheim: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Suche: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zukunftsfähigen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
entschieden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Projekt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
soll: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bereits: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
einem: {'mail_occurrences': 4, 'total_occurrences': 5, 'x_spam_probability': 0.23529411764705882}
Jahr: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
erfolgreich: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
abgeschlossen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Umstellung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bedeutete: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Neudefinition: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ablauforganisation: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Infohub: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Getränkebranche: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Getränkefachgroßhandels: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Verbundgruppe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Team: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Beverage: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nutzt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Digitalisierung: {'mail_occurrences': 4, 'total_occurrences': 7, 'x_spam_probability': 0.23529411764705882}
Getränkehandels: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Deutschland: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Analytics: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Platform: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
No: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
mb: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
15: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
29: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Oktober: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
aktuelle: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Meinung: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Teil: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Am: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
32: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Dezember: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
spät: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
gibt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Sorgen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hinsichtlich: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
alten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Lizenz: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
modells: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Beim: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Verein: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
DSAG: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
glaubt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
alle: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Wunden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
heilt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Aber: {'mail_occurrences': 2, 'total_occurrences': 5, 'x_spam_probability': 0.11764705882352941}
Vereine: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
IA4SP: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Voice: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
wir: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Weiterlesen: {'mail_occurrences': 4, 'total_occurrences': 27, 'x_spam_probability': 0.23529411764705882}
Reaktiv: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
vorbeugend: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
vorausschauend: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Kernaufgabe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Instandhaltung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bestand: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
schon: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
darin: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Unfälle: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Störungen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
vermeiden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wert: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Einsatzbereitschaft: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Anlage: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sicherzustellen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Zählen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sparen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
gläserne: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Bestandskunde: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
kann: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
Kombination: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
historischem: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Vertragswissen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Lizenzen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
durch: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
USMM: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
LAW: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zählen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sowie: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Experten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bewerten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
lassen: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
dieses: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wissen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Evaluierung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
indirekten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Nutzung: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
verwenden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
alles: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
möglich: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Guten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Boden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
schaffen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Architektur: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Alle: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Kunden: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
umfangreichen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Migrations: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
